SDG;SDG #1;Sustainable Development Goal 1;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_1
SDG;SDG #2;Sustainable Development Goal 2;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_2
SDG;SDG #3;Sustainable Development Goal 3;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_3
SDG;SDG #4;Sustainable Development Goal 4;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_4
SDG;SDG #5;Sustainable Development Goal 5;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_5
SDG;SDG #6;Sustainable Development Goal 6;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_6
SDG;SDG #7;Sustainable Development Goal 7;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_7
SDG;SDG #8;Sustainable Development Goal 8;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_8
SDG;SDG #9;Sustainable Development Goal 9;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_9
SDG;SDG #10;Sustainable Development Goal 10;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_10
SDG;SDG #11;Sustainable Development Goal 11;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_11
SDG;SDG #12;Sustainable Development Goal 12;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_12
SDG;SDG #13;Sustainable Development Goal 13;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_13
SDG;SDG #14;Sustainable Development Goal 14;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_14
SDG;SDG #15;Sustainable Development Goal 15;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_15
SDG;SDG #16;Sustainable Development Goal 16;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_16
SDG;SDG #17;Sustainable Development Goal 17;https://en.wikipedia.org/wiki/Sustainable_Development_Goal_17
